gene_id,H3K9ac_wc,H3K9me3_wc,H3K4me3_wc,H3K27ac_wc,H3K27me3_wc,E118
ENSG00000108639,28,0,32,10,4,127.147
ENSG00000102978,19,0,15,16,8,126.795
ENSG00000137331,0,0,0,0,0,126.494
ENSG00000086598,65,0,31,39,21,126.436
ENSG00000123989,46,0,47,46,14,126.076
ENSG00000122218,43,0,22,25,16,125.891
ENSG00000148175,49,0,34,61,4,125.834
ENSG00000105281,49,0,51,47,27,125.672
ENSG00000181061,45,3,32,40,19,125.664
ENSG00000182199,42,0,63,24,43,125.311
ENSG00000169021,25,0,20,18,20,125.3
ENSG00000146433,17,0,21,0,0,123.393
ENSG00000173531,40,0,40,31,17,123.268
ENSG00000170296,57,0,54,48,13,122.983
ENSG00000247596,38,0,41,30,9,122.506
ENSG00000065427,54,0,59,26,33,122.438
ENSG00000172037,27,0,29,23,10,122.106
ENSG00000124562,25,0,27,20,10,122.072
ENSG00000167780,41,0,54,40,9,121.879
ENSG00000116685,57,0,36,56,11,121.387
ENSG00000249319,0,0,0,0,0,121.38
ENSG00000120885,49,0,57,30,3,121.277
ENSG00000068078,63,0,68,46,24,121.25
ENSG00000169813,65,0,56,66,11,120.16
ENSG00000142168,34,0,29,26,6,120.156
ENSG00000146066,35,0,29,25,16,120.037
ENSG00000075785,29,0,25,24,14,119.958
ENSG00000187840,40,0,36,31,15,119.806
ENSG00000078369,49,0,65,21,9,119.552
ENSG00000099804,45,0,54,51,5,119.357
ENSG00000011304,75,0,77,45,11,119.295
ENSG00000180398,37,0,39,32,14,118.918
ENSG00000140319,33,0,29,34,12,118.855
ENSG00000170348,35,0,29,30,14,118.486
ENSG00000072274,38,0,34,23,7,118.381
ENSG00000069702,0,0,0,0,0,118.08
ENSG00000112335,27,0,32,19,9,118.051
ENSG00000134440,33,0,24,18,9,117.928
ENSG00000063046,46,0,42,33,17,117.529
ENSG00000104419,13,12,15,11,50,117.101
ENSG00000173660,62,0,61,44,20,117.099
ENSG00000136930,32,0,30,11,9,117.014
ENSG00000070061,47,0,32,33,16,116.904
ENSG00000147140,38,0,16,32,3,116.679
ENSG00000124193,31,0,32,27,25,116.368
ENSG00000103363,36,0,31,22,22,116.352
ENSG00000132824,22,0,21,16,23,116.099
ENSG00000164096,23,0,22,22,12,116.084
ENSG00000183978,29,0,19,24,10,115.654
ENSG00000161921,29,0,31,0,18,115.63
ENSG00000151715,44,0,37,25,3,115.597
ENSG00000101464,25,0,20,21,14,115.561
ENSG00000158104,30,0,24,34,4,115.23
ENSG00000143153,60,0,52,68,25,115.215
ENSG00000124208,45,0,32,30,13,115.037
ENSG00000172053,33,0,23,23,8,114.903
ENSG00000103485,13,0,36,0,3,114.808
ENSG00000113732,24,0,20,15,8,114.793
ENSG00000255072,22,0,18,16,8,114.465
ENSG00000138674,40,0,31,36,15,114.129
ENSG00000115677,82,0,48,47,23,113.751
