histone_marker,model,val_accuracy_mean,val_accuracy_std,val_auc_mean,val_auc_std,test_accuracy_mean,test_accuracy_std,test_auc_mean,test_auc_std
H3K9me3-H3K27ac,RandomForest,77.58,1.5563,0.852,0.0135,75.54,1.9398,0.8459,0.0147
H3K9me3-H3K27ac,DirectRanker,73.82,2.0993,0.842,0.0148,72.72,0.7855,0.8274,0.0163
H3K9me3-H3K27ac,LogisticRegression,73.86,1.6103,0.7925,0.0241,72.04,2.1031,0.7828,0.0212
H3K9me3-H3K27ac,SVM_Linear,73.26,1.8147,0.7867,0.0241,71.48,1.6574,0.7786,0.0204
H3K9me3-H3K27ac-H3K27me3,RandomForest,77.46,1.7053,0.8547,0.0166,74.52,1.37,0.8436,0.014
H3K9me3-H3K27ac-H3K27me3,DirectRanker,76.38,1.9892,0.842,0.013,74.34,1.2641,0.8306,0.0139
H3K9me3-H3K27ac-H3K27me3,LogisticRegression,72.02,1.7782,0.786,0.0242,70.98,1.359,0.7805,0.018
H3K9me3-H3K27ac-H3K27me3,SVM_Linear,71.62,1.3755,0.7786,0.0243,70.68,1.7922,0.7751,0.0179
H3K9me3-H3K27me3,RandomForest,67.38,1.3664,0.734,0.0211,65.38,2.3339,0.7163,0.026
H3K9me3-H3K27me3,DirectRanker,66.0,1.4422,0.726,0.023,65.06,2.2188,0.7139,0.0242
H3K9me3-H3K27me3,SVM_Linear,61.1,2.2594,0.6459,0.0274,62.36,1.1082,0.6521,0.0201
H3K9me3-H3K27me3,LogisticRegression,61.52,2.4356,0.6486,0.0288,62.06,1.5534,0.6559,0.0207
