item_name,train_loss_min,train_loss_avg,train_loss_max,train_acc_min,train_acc_avg,train_acc_max,train_auc_min,train_auc_avg,train_auc_max,val_loss_min,val_loss_avg,val_loss_max,val_acc_min,val_acc_avg,val_acc_max,val_auc_min,val_auc_avg,val_auc_max,test_acc_score,test_auc_score
H3K9me3-H3K4me3-H3K9ac-H3K27me3,0.495,0.5175,0.6855,53.29,77.3323,78.38,0.53,0.773,0.78,0.5248,0.5332,0.6749,74.73,76.9299,77.46,0.75,0.7685,0.77,76.23,0.76
H3K9me3-H3K4me3-H3K27me3-H3K9ac,0.492,0.5167,0.6865,50.01,77.2469,78.65,0.5,0.7724,0.79,0.5255,0.5338,0.6751,49.99,76.7441,77.43,0.5,0.7658,0.77,76.05,0.76
H3K9me3-H3K9ac-H3K4me3-H3K27me3,0.4944,0.5174,0.6851,56.53,77.394,78.48,0.57,0.7735,0.78,0.526,0.5349,0.6701,74.96,76.8631,77.48,0.75,0.7681,0.77,76.17,0.76
H3K9me3-H3K9ac-H3K27me3-H3K4me3,0.4889,0.5127,0.6873,65.81,77.6918,78.78,0.66,0.7764,0.79,0.5252,0.5332,0.675,74.43,76.9663,77.48,0.74,0.7683,0.77,76.09,0.76
H3K9me3-H3K27me3-H3K4me3-H3K9ac,0.4952,0.5199,0.6909,50.52,77.2358,78.47,0.51,0.7721,0.78,0.5241,0.5349,0.6848,60.32,76.7981,77.46,0.6,0.7665,0.77,76.05,0.76
H3K9me3-H3K27me3-H3K9ac-H3K4me3,0.4927,0.5161,0.683,50.01,77.1671,78.58,0.5,0.7714,0.79,0.526,0.535,0.6695,49.99,76.6963,77.44,0.5,0.7656,0.77,76.13,0.76
H3K27me3-H3K4me3-H3K9ac-H3K9me3,0.4904,0.5159,0.6781,54.57,77.4247,78.61,0.55,0.7744,0.79,0.5265,0.5353,0.6629,72.94,76.9289,77.46,0.73,0.768,0.77,76.02,0.76
H3K27me3-H3K4me3-H3K9me3-H3K9ac,0.4892,0.5151,0.6782,56.62,77.4672,78.78,0.57,0.7749,0.79,0.5267,0.5359,0.6615,70.67,76.8604,77.47,0.71,0.7675,0.77,76.06,0.76
H3K27me3-H3K9ac-H3K4me3-H3K9me3,0.49,0.5152,0.6786,66.81,77.7197,78.67,0.67,0.7774,0.79,0.5265,0.5349,0.6615,75.69,76.9995,77.43,0.76,0.7685,0.77,76.05,0.76
H3K27me3-H3K9ac-H3K9me3-H3K4me3,0.4966,0.519,0.6881,51.06,77.3186,78.38,0.51,0.7736,0.78,0.5253,0.534,0.6773,60.84,76.8474,77.43,0.61,0.7672,0.77,76.04,0.76
H3K27me3-H3K9me3-H3K4me3-H3K9ac,0.4956,0.5185,0.686,64.25,77.5364,78.54,0.64,0.7755,0.79,0.5257,0.5349,0.6758,75.84,76.9688,77.44,0.76,0.7686,0.77,76.02,0.76
H3K27me3-H3K9me3-H3K9ac-H3K4me3,0.492,0.5151,0.6804,61.78,77.473,78.55,0.62,0.7744,0.79,0.5249,0.5325,0.6604,75.78,76.9895,77.48,0.76,0.7687,0.77,76.01,0.76
H3K4me3-H3K9ac-H3K27ac-H3K27me3,0.4825,0.5091,0.6871,50.64,77.8554,79.23,0.51,0.7791,0.79,0.5188,0.5272,0.6743,73.38,77.3362,77.82,0.73,0.7747,0.78,76.78,0.77
