,gene_id,value_1,y,scores
10249,XLOC_013147,1.99104,2,-5.8919373
10250,XLOC_013148,17.3682,3,-5.1619296
10251,XLOC_013149,26.5159,3,-6.9799595
10252,XLOC_013150,0.0,0,-6.9144325
10253,XLOC_013152,6.7969,2,-5.499667
10254,XLOC_013153,13.3526,3,-5.0546293
10255,XLOC_013154,109.847,3,-4.9606314
10256,XLOC_013155,0.149583,1,-6.9799595
10257,XLOC_013156,3.77479,2,-6.3594594
10258,XLOC_013157,0.0,0,-6.9799595
10259,XLOC_013158,3.73849,2,-6.7394
10260,XLOC_013159,2.97301,2,-5.697098
10261,XLOC_013160,1.36489,2,-6.9799595
10262,XLOC_013161,21.0349,3,-7.082441
10263,XLOC_013163,35.3348,3,-5.246197
10264,XLOC_013164,0.0169032,1,-6.9799595
10265,XLOC_013165,8.71629,2,-6.5393558
10266,XLOC_013166,38.704,3,-3.5803795
10267,XLOC_013167,3.4566,2,-6.4764543
10268,XLOC_013168,55.2517,3,-4.783441
10269,XLOC_013169,10.8701,2,-6.9799595
10270,XLOC_013170,68.6615,3,-5.2328305
10271,XLOC_013171,3.95405,2,-6.9799595
10272,XLOC_013172,0.184329,1,-6.9799595
10273,XLOC_013173,3.51536,2,-2.8492014
10274,XLOC_013174,2.09327,2,-6.8742733
10275,XLOC_013175,12.0386,2,-6.804927
