,gene_id,value_1,y,scores
211,XLOC_000242,76.7176,1,-1.4277066
212,XLOC_000243,11.8602,1,-6.020225
213,XLOC_000244,9.9758,1,-1.9352143
214,XLOC_000245,11.7336,1,-5.082624
215,XLOC_000246,65.9041,1,-1.125893
216,XLOC_000247,6.01797,1,-2.0887773
217,XLOC_000248,8.31659,1,-1.7966164
218,XLOC_000250,2.22496,1,-2.8855577
219,XLOC_000251,32.6551,1,-4.446028
220,XLOC_000252,0.0,0,-6.970554
221,XLOC_000253,16.2677,1,-6.1661234
222,XLOC_000254,16.1769,1,-4.3064103
223,XLOC_000255,0.047446,0,-6.970554
224,XLOC_000257,0.288295,0,-6.631729
225,XLOC_000258,19.2125,1,-3.169489
226,XLOC_000259,16.3773,1,-6.970554
227,XLOC_000262,8.03788,1,-0.69017416
228,XLOC_000263,0.0,0,-6.109521
229,XLOC_000264,62.4155,1,-3.177689
230,XLOC_000265,3.77614,1,-6.0967627
231,XLOC_000266,14.203,1,-3.110721
232,XLOC_000267,23.9011,1,-1.4668368
233,XLOC_000268,2.67059,1,-5.0772815
234,XLOC_000269,110.298,1,-5.0772815
235,XLOC_000270,0.284236,0,-6.2970715
236,XLOC_000271,0.465516,0,-5.253913
237,XLOC_000272,50.8854,1,-2.4178064
238,XLOC_000273,0.696408,0,-5.015266
239,XLOC_000274,2.13995,1,-5.015266
240,XLOC_000275,0.0211071,0,-6.970554
241,XLOC_000276,1.42782,1,-6.970554
242,XLOC_000277,23.5632,1,-2.1009245
243,XLOC_000278,10.1484,1,-3.789003
244,XLOC_000279,9.38623,1,-3.789003
245,XLOC_000280,0.0,0,-6.970554
246,XLOC_000281,0.97247,0,-5.539276
247,XLOC_000282,6.61293,1,-3.7258506
248,XLOC_000283,0.0,0,-6.970554
249,XLOC_000284,0.173196,0,-6.970554
250,XLOC_000285,0.94857,0,-4.4658875
251,XLOC_000286,0.0,0,-6.970554
252,XLOC_000287,0.0176207,0,-6.970554
253,XLOC_000288,0.0,0,-4.9804306
254,XLOC_000289,0.0,0,-4.9804306
255,XLOC_000290,0.0,0,-4.9804306
256,XLOC_000291,0.0,0,-4.9804306
257,XLOC_000292,6.08989,1,-6.970554
258,XLOC_000293,13.8527,1,-6.1418705
259,XLOC_000294,6.21711,1,-5.5837555
260,XLOC_000295,0.262684,0,-6.2693233
261,XLOC_000296,3.01746,1,-4.6837907
262,XLOC_000297,7.95817,1,-6.970554
263,XLOC_000298,5.07368,1,-3.2278311
264,XLOC_000299,12.8958,1,-6.970554
265,XLOC_000300,6.49652,1,-4.1347265
266,XLOC_000301,39.5552,1,-2.54357
267,XLOC_000302,2.61497,1,-4.3279405
268,XLOC_000304,7.35593,1,-4.232309
269,XLOC_000305,0.166682,0,-6.970554
270,XLOC_000306,15.1876,1,-4.9825983
271,XLOC_000307,13.5863,1,-6.4146824
272,XLOC_000308,30.3918,1,-6.4146824
273,XLOC_000309,17.4864,1,-6.970554
274,XLOC_000313,1.48782,1,-5.45486
275,XLOC_000314,55.234,1,-2.555583
