Pytorch Conv1D
Epoch 148, Time:107.67468738555908,  Train Loss: 9271.1221, Train MAE: 17.8191, Test Loss: 13093.4837, Test MAE: 15.6648
Epoch 149, Time:107.52825856208801,  Train Loss: 9700.0167, Train MAE: 18.3755, Test Loss: 12169.4146, Test MAE: 18.5268
Epoch 150, Time:107.43229627609253,  Train Loss: 8552.0389, Train MAE: 16.8775, Test Loss: 17054.3657, Test MAE: 19.7964
Epoch 151, Time:107.50392007827759,  Train Loss: 9597.1920, Train MAE: 19.3876, Test Loss: 14735.1503, Test MAE: 16.6300
Epoch 152, Time:107.41242599487305,  Train Loss: 8836.1589, Train MAE: 17.2999, Test Loss: 20099.7064, Test MAE: 23.2077
Epoch 153, Time:107.38504481315613,  Train Loss: 9086.7079, Train MAE: 19.2027, Test Loss: 11388.5727, Test MAE: 19.4591
Epoch 154, Time:107.40469169616699,  Train Loss: 9809.0188, Train MAE: 18.7110, Test Loss: 17212.6304, Test MAE: 16.7419
Epoch 155, Time:107.41920733451843,  Train Loss: 9726.4167, Train MAE: 18.3781, Test Loss: 14809.6195, Test MAE: 17.1387
Epoch 156, Time:107.4136815071106,  Train Loss: 8400.6444, Train MAE: 17.3290, Test Loss: 11107.2815, Test MAE: 16.8411
Epoch 157, Time:107.42043137550354,  Train Loss: 8870.1200, Train MAE: 17.1095, Test Loss: 17681.3478, Test MAE: 17.7328
Epoch 158, Time:107.41570854187012,  Train Loss: 8019.1956, Train MAE: 16.9502, Test Loss: 18209.8821, Test MAE: 20.9942
Epoch 159, Time:107.4142324924469,  Train Loss: 13087.7099, Train MAE: 26.4417, Test Loss: 14568.3799, Test MAE: 18.8172
Epoch 160, Time:107.40849590301514,  Train Loss: 8780.4428, Train MAE: 22.7633, Test Loss: 16182.3169, Test MAE: 16.3222
Epoch 161, Time:107.56982088088989,  Train Loss: 11735.3156, Train MAE: 21.7761, Test Loss: 15946.7017, Test MAE: 19.0774
Epoch 162, Time:107.6634521484375,  Train Loss: 10019.1408, Train MAE: 19.7364, Test Loss: 19016.0298, Test MAE: 18.0307
Epoch 163, Time:107.54711699485779,  Train Loss: 13953.0622, Train MAE: 23.7015, Test Loss: 15106.5037, Test MAE: 17.7181
Epoch 164, Time:107.41435265541077,  Train Loss: 9245.6052, Train MAE: 20.2628, Test Loss: 18666.6292, Test MAE: 16.4154
Epoch 165, Time:107.42173671722412,  Train Loss: 9278.9477, Train MAE: 19.0599, Test Loss: 15220.5245, Test MAE: 17.0521
Epoch 166, Time:107.43373894691467,  Train Loss: 10184.0886, Train MAE: 18.7887, Test Loss: 11294.9022, Test MAE: 21.9865
Epoch 167, Time:107.67126512527466,  Train Loss: 9703.0298, Train MAE: 18.8347, Test Loss: 22681.8993, Test MAE: 20.7923
Epoch 168, Time:107.65914106369019,  Train Loss: 9261.6184, Train MAE: 19.6932, Test Loss: 19625.3057, Test MAE: 18.2719
Epoch 169, Time:107.60632920265198,  Train Loss: 9029.9217, Train MAE: 19.3841, Test Loss: 17345.0830, Test MAE: 16.2594
Epoch 170, Time:107.45007538795471,  Train Loss: 10234.8557, Train MAE: 18.9464, Test Loss: 19889.6259, Test MAE: 17.9271
Epoch 171, Time:107.38624286651611,  Train Loss: 8240.5446, Train MAE: 19.3052, Test Loss: 10838.3908, Test MAE: 16.4476
Epoch 172, Time:107.38029313087463,  Train Loss: 10826.3029, Train MAE: 19.8988, Test Loss: 15650.6643, Test MAE: 16.4203
Epoch 173, Time:107.3782868385315,  Train Loss: 8923.9063, Train MAE: 18.9808, Test Loss: 16977.1339, Test MAE: 18.9455
Epoch 174, Time:107.41277980804443,  Train Loss: 8974.6083, Train MAE: 20.3258, Test Loss: 11236.4101, Test MAE: 18.8739
Epoch 175, Time:107.39058351516724,  Train Loss: 9103.1341, Train MAE: 20.7625, Test Loss: 15895.5437, Test MAE: 20.1379
Epoch 176, Time:107.3769941329956,  Train Loss: 10413.9485, Train MAE: 18.8456, Test Loss: 16616.3737, Test MAE: 18.1880
Epoch 177, Time:107.38961172103882,  Train Loss: 9388.1560, Train MAE: 17.1975, Test Loss: 16669.3378, Test MAE: 16.4169
Epoch 178, Time:107.38276863098145,  Train Loss: 9108.5274, Train MAE: 17.1618, Test Loss: 12542.3471, Test MAE: 18.5390
Epoch 179, Time:107.39606833457947,  Train Loss: 12513.7802, Train MAE: 22.7618, Test Loss: 13574.6304, Test MAE: 16.8596
Epoch 180, Time:107.39508748054504,  Train Loss: 10359.1792, Train MAE: 19.3846, Test Loss: 11433.2011, Test MAE: 19.5040
Epoch 181, Time:107.52104878425598,  Train Loss: 9247.0028, Train MAE: 18.3537, Test Loss: 18991.6141, Test MAE: 18.1458
Epoch 182, Time:107.38340091705322,  Train Loss: 8625.8790, Train MAE: 18.2010, Test Loss: 22102.6693, Test MAE: 20.4553
Epoch 183, Time:107.36547994613647,  Train Loss: 9550.1219, Train MAE: 19.2051, Test Loss: 17577.8195, Test MAE: 20.5338
Epoch 184, Time:107.36593890190125,  Train Loss: 9856.3617, Train MAE: 19.5123, Test Loss: 11496.9555, Test MAE: 18.8341
Epoch 185, Time:107.37313342094421,  Train Loss: 9334.7045, Train MAE: 18.0338, Test Loss: 14692.1058, Test MAE: 16.2966
Epoch 186, Time:107.37895584106445,  Train Loss: 9788.6455, Train MAE: 19.2161, Test Loss: 13196.5514, Test MAE: 17.8829
Epoch 187, Time:107.37130427360535,  Train Loss: 11222.3726, Train MAE: 19.3794, Test Loss: 13091.6154, Test MAE: 20.6716
Epoch 188, Time:107.36919832229614,  Train Loss: 9046.2152, Train MAE: 17.8513, Test Loss: 20855.4339, Test MAE: 17.7306
Epoch 189, Time:107.37140560150146,  Train Loss: 9493.6601, Train MAE: 20.3324, Test Loss: 15073.1071, Test MAE: 16.4117
Epoch 190, Time:107.36841940879822,  Train Loss: 9777.7154, Train MAE: 20.6325, Test Loss: 14348.7953, Test MAE: 17.2817
Epoch 191, Time:107.36600947380066,  Train Loss: 9060.4820, Train MAE: 19.0520, Test Loss: 14368.6368, Test MAE: 18.0914
Epoch 192, Time:107.39931631088257,  Train Loss: 11776.1610, Train MAE: 20.0108, Test Loss: 15598.0596, Test MAE: 20.3395
Epoch 193, Time:107.41362118721008,  Train Loss: 10284.0261, Train MAE: 19.3970, Test Loss: 16842.8610, Test MAE: 16.2418
Epoch 194, Time:107.39694714546204,  Train Loss: 9055.2700, Train MAE: 19.3743, Test Loss: 19829.8139, Test MAE: 16.8686
Epoch 195, Time:107.41801571846008,  Train Loss: 10128.2367, Train MAE: 18.9734, Test Loss: 17974.9798, Test MAE: 16.3288
Epoch 196, Time:107.41768527030945,  Train Loss: 9074.3927, Train MAE: 18.4575, Test Loss: 11300.0504, Test MAE: 18.7618
Epoch 197, Time:107.40035486221313,  Train Loss: 11203.8691, Train MAE: 18.8598, Test Loss: 16077.6850, Test MAE: 16.7941
Epoch 198, Time:107.39974737167358,  Train Loss: 9267.0952, Train MAE: 18.8983, Test Loss: 19214.8855, Test MAE: 18.4608
Epoch 199, Time:107.42528772354126,  Train Loss: 10117.1280, Train MAE: 17.9137, Test Loss: 16166.5778, Test MAE: 17.4904
