gene_id,H3K9ac_wc,H3K9me3_wc,H3K4me3_wc,H3K27ac_wc,H3K27me3_wc,value_1,value_2
XLOC_000410,19,8,31,16,0,32.5391,31.5343
XLOC_000411,12,3,7,0,27,0.0,0.0108814
XLOC_000412,0,0,0,0,0,53.2904,53.4761
XLOC_000413,33,4,36,30,0,38.7378,39.9496
XLOC_000414,22,10,23,17,0,8.46703,8.70737
XLOC_000415,23,0,26,15,0,17.656,18.4213
XLOC_000416,20,4,15,15,3,6.90639,7.82283
XLOC_000417,14,0,7,0,7,0.0,0.0829523
XLOC_000418,17,0,20,9,0,6.8974,6.18066
XLOC_000419,3,5,0,0,11,0.0823188,0.0353043
XLOC_000420,22,3,19,19,0,104.052,108.536
XLOC_000421,9,0,9,7,33,0.0,0.0143815
XLOC_000423,18,5,17,20,3,7.22294,6.83926
XLOC_000424,16,0,20,11,0,0.0643091,0.075316
XLOC_000425,0,7,0,0,35,0.0,0.0
XLOC_000426,17,4,14,18,0,33.1082,32.1532
XLOC_000427,29,9,28,28,0,25.1426,23.9952
XLOC_000428,28,0,30,20,0,4.77687,3.83925
XLOC_000429,0,0,0,0,0,81.6833,84.3942
XLOC_000430,22,6,18,18,0,1.62062,1.66212
XLOC_000431,3,0,0,0,3,13.4782,12.1872
XLOC_000432,3,4,0,1,20,0.0,0.0
XLOC_000433,11,14,7,7,53,0.0,0.0
XLOC_000434,14,0,0,0,39,0.0,0.0
XLOC_000435,24,7,25,23,12,15.2671,15.124
XLOC_000438,23,3,27,24,0,4.94691,4.98002
XLOC_000439,6,0,10,42,0,4.87224,5.12691
XLOC_000440,0,3,0,0,0,0.0,0.0
XLOC_000444,24,0,18,28,0,6.33662,7.28265
XLOC_000445,15,4,21,14,0,18.0819,18.6352
XLOC_000446,0,0,0,0,0,3.34477,3.04821
XLOC_000447,21,8,25,26,0,3.90843,4.38892
XLOC_000448,3,4,4,0,2,0.92021,0.667286
XLOC_000449,42,9,42,36,0,28.7819,27.6024
XLOC_000450,43,10,49,53,0,1.37359,1.47282
XLOC_000451,18,0,27,14,0,6.94836,7.11166
XLOC_000452,9,8,8,3,57,0.022237,0.0515101
XLOC_000453,14,0,16,12,0,4.50815,4.73268
XLOC_000454,14,0,16,12,0,2.23246,2.33637
XLOC_000455,14,0,16,12,0,2.03669,1.18706
XLOC_000456,22,4,22,23,0,32.727,31.6192
XLOC_000457,14,9,19,4,18,0.970146,0.734044
