gene_id,H3K9ac_wc,H3K9me3_wc,H3K4me3_wc,H3K27ac_wc,H3K27me3_wc,E066
ENSG00000040608,15,0,0,0,0,0.682
ENSG00000040633,100,0,94,100,0,26.549
ENSG00000040731,0,7,0,0,73,0.001
ENSG00000040933,69,2,36,33,0,2.083
ENSG00000041353,0,0,0,0,8,1.068
ENSG00000041357,73,0,34,27,0,43.961
ENSG00000041515,0,39,0,0,7,1.142
ENSG00000041802,56,0,52,34,0,10.407
ENSG00000041880,49,0,32,32,0,11.586
ENSG00000041982,0,34,24,35,85,4.565
ENSG00000041988,61,0,69,61,0,3.015
ENSG00000042062,53,0,34,86,6,4.1
ENSG00000042088,46,0,33,30,0,2.191
ENSG00000042286,22,0,31,35,0,5.67
ENSG00000042304,0,0,0,0,0,0.0
ENSG00000042317,33,0,22,17,0,1.278
ENSG00000042429,61,0,57,21,0,1.693
ENSG00000042445,69,0,47,39,0,102.549
ENSG00000042493,94,0,61,52,0,2.04
ENSG00000042753,76,0,35,83,0,220.49
ENSG00000042781,21,0,0,12,0,2.28
ENSG00000042813,0,4,0,0,48,0.02
ENSG00000042832,0,0,0,0,0,0.067
ENSG00000042980,42,0,0,0,26,0.267
ENSG00000043039,0,19,29,0,100,0.0
ENSG00000043093,29,0,12,24,0,9.863
ENSG00000043143,72,0,55,82,0,2.044
ENSG00000043355,0,67,29,0,68,0.057
ENSG00000043462,59,29,58,88,0,8.222
ENSG00000043514,30,0,33,11,0,5.826
