gene_id,H3K9ac_wc,H3K9me3_wc,H3K4me3_wc,H3K27ac_wc,H3K27me3_wc,E066
ENSG00000179010,26,0,27,26,0,180.396
ENSG00000183978,22,0,21,19,0,179.974
ENSG00000172340,28,0,28,58,0,179.757
ENSG00000148803,34,0,35,85,0,179.606
ENSG00000164344,0,0,0,11,0,179.146
ENSG00000118640,26,0,33,44,0,179.009
ENSG00000143158,63,0,63,53,0,178.504
ENSG00000119711,37,0,41,46,0,178.393
ENSG00000140264,19,0,24,29,0,178.034
ENSG00000164825,28,0,21,53,0,177.755
ENSG00000169021,18,0,25,17,0,177.56
ENSG00000196177,50,0,45,52,0,176.71
ENSG00000163687,22,0,16,39,0,176.629
ENSG00000139344,46,0,48,57,0,175.831
ENSG00000134365,0,0,0,12,0,175.283
ENSG00000214253,17,0,20,16,0,175.04
ENSG00000170421,62,0,56,81,0,173.445
ENSG00000254999,18,0,18,16,0,172.845
ENSG00000079739,33,0,51,58,0,172.334
ENSG00000138030,41,0,57,69,0,172.256
ENSG00000143612,37,0,33,40,0,171.898
ENSG00000152558,3,0,0,25,0,171.491
ENSG00000118514,36,0,62,78,0,170.997
ENSG00000130988,33,0,42,47,0,170.843
ENSG00000143162,16,0,25,34,0,170.439
ENSG00000100714,37,0,51,53,0,170.205
ENSG00000160932,42,0,42,55,0,169.649
ENSG00000113790,8,0,19,13,0,168.716
ENSG00000163347,67,0,63,81,0,168.654
ENSG00000144381,36,0,23,26,0,168.529
ENSG00000145826,34,0,34,49,0,168.441
ENSG00000123131,16,0,16,19,0,168.233
ENSG00000184117,18,0,17,32,0,168.159
ENSG00000186480,64,0,59,72,0,166.866
ENSG00000187446,16,0,25,37,0,166.783
ENSG00000167772,34,0,42,78,0,166.13
ENSG00000169439,51,0,47,55,0,165.295
ENSG00000104805,17,0,19,35,0,165.253
ENSG00000036473,24,0,29,67,0,165.238
ENSG00000188612,29,0,28,26,0,164.95
ENSG00000135423,17,0,25,40,0,164.134
ENSG00000198931,13,0,23,24,0,163.943
ENSG00000106803,39,0,37,24,0,163.544
ENSG00000116209,36,0,29,26,0,163.34
ENSG00000138029,43,0,48,60,0,163.169
ENSG00000105373,22,0,27,41,0,162.961
ENSG00000182566,0,0,15,22,11,162.917
ENSG00000126522,27,0,35,38,0,162.886
ENSG00000126247,19,0,22,29,0,162.598
ENSG00000104325,34,0,24,52,0,162.222
ENSG00000186115,8,0,12,15,0,161.813
ENSG00000030582,10,0,14,13,0,161.661
ENSG00000197111,23,0,23,23,0,161.572
ENSG00000165629,30,0,33,17,0,161.414
ENSG00000178772,18,0,21,30,0,160.463
ENSG00000169976,20,0,28,20,0,158.917
ENSG00000124107,7,0,9,19,0,158.674
ENSG00000089063,24,0,24,22,0,158.042
ENSG00000168509,28,0,30,38,0,156.387
ENSG00000117118,24,0,18,36,0,156.083
ENSG00000063241,26,0,32,29,0,156.05
ENSG00000213494,32,0,31,60,0,156.023
ENSG00000178952,25,0,25,20,0,155.581
ENSG00000141552,20,0,25,18,0,155.417
ENSG00000184500,28,0,28,30,0,154.457
ENSG00000073754,0,10,0,0,0,154.278
ENSG00000216490,16,0,24,58,0,154.034
ENSG00000044574,44,0,53,26,0,154.019
ENSG00000065054,35,0,41,55,0,153.885
ENSG00000105669,23,0,27,18,0,153.254
ENSG00000111897,26,0,27,20,0,152.913
ENSG00000184983,18,0,26,23,0,152.764
ENSG00000126218,10,0,12,19,0,152.592
ENSG00000104964,16,0,16,43,0,152.56
ENSG00000158869,34,0,23,77,0,151.943
ENSG00000138293,56,0,38,72,0,151.869
ENSG00000134463,18,0,34,23,0,151.336
ENSG00000151366,26,0,27,25,0,150.833
ENSG00000196230,47,0,51,67,0,150.498
ENSG00000255526,24,0,28,21,0,150.242
ENSG00000117791,47,0,53,57,0,149.864
ENSG00000073849,37,0,28,51,0,149.795
ENSG00000143761,54,0,45,49,0,149.612
ENSG00000178127,61,0,52,73,0,149.533
ENSG00000130222,49,0,48,70,0,149.499
ENSG00000008517,31,0,32,50,0,149.422
ENSG00000185043,50,0,30,62,0,149.318
ENSG00000113732,17,0,23,17,0,148.93
ENSG00000125868,33,0,32,39,0,148.839
ENSG00000159377,18,0,21,29,0,148.699
ENSG00000135441,28,0,27,57,0,148.396
ENSG00000019169,0,0,0,0,0,147.845
ENSG00000172057,71,0,55,79,0,147.544
ENSG00000143149,30,0,31,31,0,147.487
ENSG00000009724,17,0,20,36,0,147.468
ENSG00000104979,12,0,17,19,0,147.453
ENSG00000109758,18,0,25,43,0,147.329
ENSG00000147155,24,0,25,24,0,146.843
ENSG00000168701,16,0,22,20,0,146.771
ENSG00000099624,49,0,48,81,0,146.51
ENSG00000137880,23,0,26,54,0,146.473
ENSG00000187608,20,0,19,24,0,146.312
ENSG00000161573,43,0,44,74,0,146.224
ENSG00000143278,45,3,50,14,0,146.189
ENSG00000182054,66,0,41,89,0,146.017
ENSG00000116288,15,0,16,14,0,145.968
ENSG00000169223,42,0,34,61,0,145.607
ENSG00000131495,21,0,23,23,0,145.006
ENSG00000163220,0,0,0,58,0,144.964
ENSG00000183044,24,0,30,60,0,144.77
ENSG00000052802,60,0,66,84,0,144.684
ENSG00000104635,87,0,83,95,0,144.669
ENSG00000074800,44,0,41,69,0,143.975
ENSG00000074842,14,0,15,35,0,143.83
ENSG00000128185,34,0,25,24,0,143.055
ENSG00000136371,56,0,47,84,0,142.798
ENSG00000147955,47,0,34,51,0,142.74
ENSG00000166825,13,0,23,26,0,142.224
ENSG00000008018,47,0,40,28,0,140.305
ENSG00000086061,48,0,53,71,0,140.081
