gene_id,H3K9ac_wc,H3K9me3_wc,H3K4me3_wc,H3K27ac_wc,H3K27me3_wc,value
ENSG00000023171,0,0,0,0,0,0.484
ENSG00000023191,31,0,22,43,0,18.486
ENSG00000023228,36,0,45,38,0,30.94
ENSG00000023287,0,0,0,0,0,16.307
ENSG00000023318,31,0,25,22,0,34.416
ENSG00000023330,47,0,53,78,0,751.973
ENSG00000023445,40,0,30,64,0,4.098
ENSG00000023516,15,0,19,20,0,5.115
ENSG00000023572,23,0,21,21,0,12.383
ENSG00000023608,17,0,15,14,0,4.095
ENSG00000023697,12,0,10,15,0,54.669
ENSG00000023734,26,0,39,31,0,70.692
ENSG00000023839,60,0,67,100,0,31.473
ENSG00000023892,10,0,5,51,0,2.974
ENSG00000023902,34,0,34,53,0,4.548
ENSG00000023909,48,0,65,62,0,26.83
ENSG00000024048,35,0,32,29,0,8.847
ENSG00000024422,0,0,4,34,0,6.301
ENSG00000024526,15,0,14,0,0,0.059
ENSG00000024862,17,0,19,27,0,51.427
ENSG00000025039,16,0,24,21,0,6.468
ENSG00000025156,14,0,18,9,0,3.49
ENSG00000025293,28,0,14,59,0,4.69
ENSG00000025423,16,0,18,34,0,764.245
ENSG00000025434,13,0,22,49,0,30.773
ENSG00000025708,72,0,62,100,0,11.086
ENSG00000025770,27,0,23,21,0,10.859
ENSG00000025772,21,0,15,16,0,13.713
ENSG00000025796,32,0,31,30,0,27.155
ENSG00000025800,22,0,31,37,0,9.955
ENSG00000026025,35,0,31,41,6,80.13
ENSG00000026103,40,0,37,69,0,3.476
ENSG00000026297,20,0,22,59,0,10.442
ENSG00000026508,18,0,19,47,15,4.85
ENSG00000026559,0,0,0,0,26,0.065
ENSG00000026652,6,0,12,6,0,0.399
ENSG00000026751,0,4,0,40,0,2.421
ENSG00000026950,21,0,27,15,0,7.592
ENSG00000027001,18,0,12,16,0,7.395
ENSG00000027075,0,0,5,0,0,3.619
ENSG00000027644,0,0,4,0,15,0.0
