model,seed,histone_marker,epochs_trained,val_accuracy,val_auc,test_accuracy,test_auc,test_aucprc,test_precision,test_recall,test_f1,antisymmetry
DirectRanker,789,H3K4me3-H3K27me3,76,73.1,0.82,72.5,0.8126,0.8044,0.7111,0.7634,0.7363,0.93
LogisticRegression,789,H3K4me3-H3K27me3,,72.6,0.7961,71.3,0.7837,0.7636,0.7422,0.6581,0.6976,0.788
RandomForest,789,H3K4me3-H3K27me3,,73.7,0.8183,71.8,0.8035,0.8025,0.7483,0.662,0.7025,0.823
SVM_Linear,789,H3K4me3-H3K27me3,,72.5,0.7961,71.3,0.7846,0.7628,0.7488,0.6461,0.6937,0.784
DirectRanker,1011,H3K9ac-H3K9me3,90,72.5,0.8,71.2,0.8133,0.8082,0.6871,0.7829,0.7318,0.851
LogisticRegression,1011,H3K9ac-H3K9me3,,69.6,0.7463,69.6,0.7625,0.7257,0.7346,0.6175,0.671,0.728
RandomForest,1011,H3K9ac-H3K9me3,,72.1,0.7949,73.5,0.8128,0.8074,0.7883,0.6454,0.7097,0.761
SVM_Linear,1011,H3K9ac-H3K9me3,,69.2,0.747,68.7,0.7553,0.7137,0.7299,0.5976,0.6572,0.713
DirectRanker,123,H3K9ac-H3K9me3,91,72.2,0.83,71.8,0.8069,0.7834,0.6855,0.7886,0.7335,0.864
LogisticRegression,123,H3K9ac-H3K9me3,,74.1,0.7967,70.9,0.7541,0.7338,0.7433,0.624,0.6785,0.748
RandomForest,123,H3K9ac-H3K9me3,,74.8,0.8357,72.9,0.8037,0.7798,0.7637,0.6504,0.7025,0.784
SVM_Linear,123,H3K9ac-H3K9me3,,73.3,0.7995,70.5,0.7588,0.7367,0.7397,0.6179,0.6733,0.753
DirectRanker,42,H3K9ac-H3K9me3,86,72.0,0.82,72.5,0.8369,0.8294,0.6813,0.8046,0.7378,0.842
LogisticRegression,42,H3K9ac-H3K9me3,,71.5,0.766,73.7,0.7992,0.7785,0.7646,0.6549,0.7055,0.725
RandomForest,42,H3K9ac-H3K9me3,,75.0,0.8256,75.5,0.8345,0.8157,0.7892,0.6694,0.7244,0.743
SVM_Linear,42,H3K9ac-H3K9me3,,70.7,0.7531,73.4,0.799,0.7793,0.7628,0.6486,0.7011,0.721
DirectRanker,456,H3K9ac-H3K9me3,100,73.2,0.84,71.8,0.8129,0.7999,0.6796,0.7942,0.7324,0.857
LogisticRegression,456,H3K9ac-H3K9me3,,74.1,0.7958,72.3,0.7722,0.7325,0.7494,0.6461,0.6939,0.731
RandomForest,456,H3K9ac-H3K9me3,,76.0,0.8361,74.1,0.8126,0.792,0.7722,0.6626,0.7132,0.784
SVM_Linear,456,H3K9ac-H3K9me3,,73.7,0.7935,72.6,0.7725,0.7267,0.7611,0.6358,0.6928,0.721
DirectRanker,789,H3K9ac-H3K9me3,100,71.0,0.8,73.9,0.8279,0.8063,0.7108,0.8111,0.7577,0.828
LogisticRegression,789,H3K9ac-H3K9me3,,71.8,0.7728,70.7,0.78,0.744,0.7665,0.6004,0.6734,0.73
RandomForest,789,H3K9ac-H3K9me3,,72.1,0.8049,74.2,0.8342,0.8248,0.8101,0.6362,0.7127,0.764
SVM_Linear,789,H3K9ac-H3K9me3,,72.1,0.7759,70.6,0.781,0.7483,0.77,0.5924,0.6697,0.716
DirectRanker,1011,H3K9ac-H3K27ac,89,72.7,0.8,73.9,0.83,0.8177,0.7179,0.7908,0.7526,0.896
LogisticRegression,1011,H3K9ac-H3K27ac,,70.2,0.7653,71.7,0.781,0.7764,0.7552,0.6454,0.696,0.752
RandomForest,1011,H3K9ac-H3K27ac,,72.9,0.8043,74.9,0.8352,0.8303,0.7808,0.6952,0.7355,0.814
SVM_Linear,1011,H3K9ac-H3K27ac,,69.9,0.7651,71.1,0.7822,0.7774,0.7506,0.6355,0.6882,0.754
DirectRanker,123,H3K9ac-H3K27ac,76,73.8,0.83,72.1,0.8176,0.8103,0.6969,0.7663,0.7299,0.909
LogisticRegression,123,H3K9ac-H3K27ac,,75.3,0.8123,72.3,0.789,0.7778,0.7483,0.6585,0.7005,0.79
RandomForest,123,H3K9ac-H3K27ac,,77.1,0.8523,76.7,0.8352,0.8264,0.7897,0.7175,0.7519,0.827
SVM_Linear,123,H3K9ac-H3K27ac,,74.5,0.8136,72.0,0.7906,0.783,0.75,0.6463,0.6943,0.779
DirectRanker,42,H3K9ac-H3K27ac,71,75.0,0.84,75.0,0.8524,0.8478,0.7135,0.8025,0.7554,0.907
LogisticRegression,42,H3K9ac-H3K27ac,,73.9,0.797,74.6,0.824,0.8116,0.7621,0.6861,0.7221,0.768
RandomForest,42,H3K9ac-H3K27ac,,77.5,0.8529,78.5,0.8618,0.8583,0.7995,0.738,0.7676,0.834
SVM_Linear,42,H3K9ac-H3K27ac,,73.4,0.7956,74.4,0.8253,0.8118,0.7574,0.6881,0.7211,0.759
DirectRanker,456,H3K9ac-H3K27ac,100,75.4,0.85,73.5,0.8244,0.8059,0.7043,0.784,0.742,0.901
LogisticRegression,456,H3K9ac-H3K27ac,,74.4,0.8077,73.5,0.79,0.7687,0.7564,0.6708,0.711,0.772
RandomForest,456,H3K9ac-H3K27ac,,77.9,0.8597,76.3,0.8341,0.8155,0.7836,0.7078,0.7438,0.828
SVM_Linear,456,H3K9ac-H3K27ac,,74.8,0.8085,73.1,0.7906,0.7693,0.7529,0.6646,0.706,0.767
DirectRanker,789,H3K9ac-H3K27ac,60,71.8,0.8,75.3,0.8412,0.8256,0.737,0.7913,0.7632,0.902
